inst_id,inst_label,mode_str,EU_status,IU_status,EU_obj,IU_obj,EU_gap,IU_gap,EU_time_sec,IU_time_sec,abs_obj_diff
1,n4_rho3_B_LI_NCVX_rational,RLT,OPTIMAL,OPTIMAL,-9930.999999628746,-9999.999999995618,0.0,0.6948,0.0036,0.0026,69.00000036687197
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC2x2_diag_X,OPTIMAL,OPTIMAL,-9930.999999077752,-9999.999999967738,0.0,0.6948,0.0041,0.0051,69.00000088998604
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC2x2_diag_U,OPTIMAL,OPTIMAL,-9930.999999890777,-9999.999999993419,0.0,0.6948,0.0025,0.0046,69.00000010264193
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC2x2_diag_XU,OPTIMAL,OPTIMAL,-9930.999999487174,-9999.999999992844,0.0,0.6948,0.0027,0.003,69.00000050566996
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC2x2_full_X,OPTIMAL,OPTIMAL,-9930.99999519889,-9999.999997671342,0.0,0.6948,0.0029,0.0034,69.00000247245225
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC2x2_full_U,OPTIMAL,OPTIMAL,-9930.99999357689,-9999.99999998978,0.0,0.6948,0.0032,0.0034,69.00000641288898
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC2x2_full_XU,OPTIMAL,OPTIMAL,-9930.999997085288,-9999.999999993659,0.0,0.6948,0.0035,0.0037,69.00000290837124
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC_directional_X,OPTIMAL,OPTIMAL,-9930.999999210993,-9999.999999178819,0.0,0.6948,0.0035,0.0043,68.99999996782572
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC_directional_U,OPTIMAL,OPTIMAL,-9930.999999795258,-9999.99998165577,0.0,0.6948,0.004,0.0034,68.99998186051198
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC_directional_XU,OPTIMAL,OPTIMAL,-9930.999992740948,-9999.999999173735,0.0,0.6948,0.0038,0.0039,69.0000064327869
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC_hybrid_X,OPTIMAL,OPTIMAL,-9930.99995335839,-9999.999995748345,0.0,0.6948,0.0038,0.043,69.00004238995461
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC_hybrid_U,OPTIMAL,OPTIMAL,-9930.999983335012,-9999.999985649487,0.0,0.6948,0.0045,0.0031,69.00000231447484
1,n4_rho3_B_LI_NCVX_rational,RLT_SOC_hybrid_XU,OPTIMAL,OPTIMAL,-9930.999999686084,-9999.999999041836,0.0,0.6948,0.0041,0.0047,68.99999935575215
1,n4_rho3_B_LI_NCVX_rational,RLT_PSD3x3_X,OPTIMAL,OPTIMAL,-9930.999999949574,-10000.000000539196,0.0,0.6948,0.0096,0.0086,69.00000058962178
1,n4_rho3_B_LI_NCVX_rational,RLT_PSD3x3_U,OPTIMAL,OPTIMAL,-9930.999985719565,-10000.000001932083,0.0,0.6948,0.0072,0.0076,69.00001621251795
1,n4_rho3_B_LI_NCVX_rational,RLT_PSD3x3_XU,OPTIMAL,OPTIMAL,-9930.999999799587,-10000.000006263386,0.0,0.6948,0.0107,0.0102,69.00000646379885
6,n4_rho3_P_LI_NCVX_seed5,RLT,OPTIMAL,OPTIMAL,-1334.141827872655,-1335.076486166022,44.7454,44.8468,0.0076,0.0038,0.9346582933669652
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC2x2_diag_X,OPTIMAL,OPTIMAL,-1017.3956639883503,-1032.9491187355284,10.3806,12.068,0.006,0.0036,15.55345474717808
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC2x2_diag_U,OPTIMAL,OPTIMAL,-1334.1418308353532,-1335.0764870466255,44.7454,44.8468,0.0037,0.0036,0.9346562112723404
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC2x2_diag_XU,OPTIMAL,OPTIMAL,-1017.3956638689858,-1032.9491186256855,10.3806,12.068,0.0038,0.0043,15.553454756699693
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC2x2_full_X,OPTIMAL,OPTIMAL,-939.141117540423,-944.9167480572785,1.8905,2.5171,0.0037,0.0042,5.775630516855472
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC2x2_full_U,OPTIMAL,OPTIMAL,-1334.1418308350273,-1335.0764870475152,44.7454,44.8468,0.0032,0.0041,0.9346562124878801
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC2x2_full_XU,OPTIMAL,OPTIMAL,-939.1411172721934,-944.9167480398376,1.8905,2.5171,0.0043,0.0045,5.775630767644202
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC_directional_U,OPTIMAL,OPTIMAL,-1334.1418308342577,-1335.0764870465337,44.7454,44.8468,0.0041,0.0034,0.9346562122759678
6,n4_rho3_P_LI_NCVX_seed5,RLT_SOC_hybrid_U,OPTIMAL,OPTIMAL,-1334.1418308337813,-1335.0764870477933,44.7454,44.8468,0.0053,0.0032,0.9346562140119659
6,n4_rho3_P_LI_NCVX_seed5,RLT_PSD3x3_U,OPTIMAL,OPTIMAL,-1334.1418308550667,-1335.076487052354,44.7454,44.8468,0.0146,0.0137,0.9346561972872678
6,n4_rho3_P_LI_NCVX_seed5,RLT_blockSDP_U,OPTIMAL,OPTIMAL,-1334.141837854884,-1335.0764883713277,44.7454,44.8468,0.0078,0.0115,0.9346505164437531
8,n4_rho3_B_LI_QE_NCVX_seed7,RLT_SOC_directional_X,OPTIMAL,OPTIMAL,-1372.8691002462288,-1373.5359033697148,6.2297,6.2813,0.0039,0.0044,0.6668031234860337
8,n4_rho3_B_LI_QE_NCVX_seed7,RLT_SOC_directional_XU,OPTIMAL,OPTIMAL,-1372.869098760661,-1373.5359042877787,6.2297,6.2813,0.0058,0.0049,0.6668055271177309
8,n4_rho3_B_LI_QE_NCVX_seed7,RLT_SOC_hybrid_X,OPTIMAL,OPTIMAL,-1365.9183803010797,-1366.1231114584007,5.6918,5.7077,0.0063,0.0076,0.20473115732102087
8,n4_rho3_B_LI_QE_NCVX_seed7,RLT_SOC_hybrid_XU,OPTIMAL,OPTIMAL,-1365.9183780922583,-1366.1231228209617,5.6918,5.7077,0.0091,0.0072,0.20474472870341742
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_directional_X,OPTIMAL,OPTIMAL,-2565.479567987672,-2566.5686045210427,88.7538,88.8339,0.0152,0.0163,1.089036533370745
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_directional_XU,OPTIMAL,OPTIMAL,-2565.4795713026597,-2566.5686068284263,88.7538,88.8339,0.0189,0.0232,1.089035525766576
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_hybrid_X,OPTIMAL,OPTIMAL,-2561.9184045789584,-2562.997401803805,88.4917,88.5711,0.0272,0.017,1.0789972248467166
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_hybrid_XU,OPTIMAL,OPTIMAL,-2561.9184092558844,-2562.997417621738,88.4917,88.5711,0.0312,0.0252,1.0790083658534968
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_PSD3x3_X,OPTIMAL,OPTIMAL,-2413.450914780584,-2415.798043773987,77.5683,77.741,0.0775,0.0908,2.347128993403203
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_PSD3x3_XU,OPTIMAL,OPTIMAL,-2413.4509015505023,-2415.7979794450594,77.5683,77.741,0.0956,0.0839,2.34707789455706
