rel,N,missEU,missIU,diffN,maxD,maxID,maxLbl
RLT_SOC2x2_full_U,23,0,0,2,5.90520000000015,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT_SOC_directional_U,23,0,0,2,5.90520000000015,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT_SOC_hybrid_U,23,1,0,2,5.90520000000015,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT_SOC2x2_diag_U,23,1,0,2,5.905099999999948,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT,23,0,0,2,5.9050000000002,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT_PSD3x3_U,23,0,0,2,5.904899999999998,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT_blockSDP_U,23,1,0,1,3.4702000000015687,16,n6_rho4_P_LI2_CVX_seed106
RLT_PSD3x3_X,23,0,0,1,1.7241000000000213,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_PSD3x3_XU,23,0,0,1,1.7241000000000213,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_SOC_directional_X,23,1,1,1,1.7240000000000464,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_SOC_directional_XU,23,1,0,1,1.7240000000000464,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_blockSDP_X,23,0,0,1,1.7240000000000464,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_SOC_hybrid_X,23,0,1,1,1.7239000000000146,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_SOC_hybrid_XU,23,1,1,1,1.7239000000000146,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_SOC2x2_diag_X,23,1,0,1,1.6874000000000002,6,n4_rho3_P_LI_NCVX_seed5
RLT_SOC2x2_diag_XU,23,1,0,1,1.6874000000000002,6,n4_rho3_P_LI_NCVX_seed5
RLT_SOC2x2_full_X,23,0,0,1,1.5784999999999627,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_SOC2x2_full_XU,23,0,0,1,1.5784999999999627,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
RLT_full_SDP,23,0,0,1,1.3040000000000003,9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8
RLT_blockSDP_XU,23,0,0,1,1.0357000000000198,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108
