rel,N,missEU,missIU,diffN,maxD,maxID,maxLbl
RLT_full_SDP,24,0,0,3,0.015975221726205913,21,n15_rho7_P_LI3_LE1_QI2_QE1_NCVX_seed111
RLT_SOC2x2_diag_X,24,1,0,2,0.017844251133398017,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT_SOC2x2_diag_XU,24,0,1,2,0.017844211804553672,22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq
RLT,24,0,0,0,0.0,,
RLT_SOC2x2_diag_U,24,1,0,0,0.0,,
RLT_SOC2x2_full_X,24,1,0,0,0.0,,
RLT_SOC2x2_full_U,24,1,0,0,0.0,,
RLT_SOC2x2_full_XU,24,1,1,0,0.0,,
RLT_SOC_directional_X,24,1,0,0,0.0,,
RLT_SOC_directional_U,24,0,0,0,0.0,,
RLT_SOC_directional_XU,24,1,1,0,0.0,,
RLT_SOC_hybrid_X,24,1,1,0,0.0,,
RLT_SOC_hybrid_U,24,0,0,0,0.0,,
RLT_SOC_hybrid_XU,24,1,1,0,0.0,,
RLT_PSD3x3_X,24,0,0,0,0.0,,
RLT_PSD3x3_U,24,2,1,0,0.0,,
RLT_PSD3x3_XU,24,0,0,0,0.0,,
RLT_blockSDP_X,24,0,0,0,0.0,,
RLT_blockSDP_U,24,3,1,0,0.0,,
RLT_blockSDP_XU,24,0,0,0,0.0,,
