inst_id,inst_label,n,rho,mode,EU_status,EU_obj,EU_gap,EU_time_sec,IU_status,IU_obj,IU_gap,IU_time_sec,exact_status,exact_obj,exact_time_sec
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT,OPTIMAL,-9930.999999628746,0.0,1.4986,OPTIMAL,-9999.999999995618,0.6948,0.0029,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_diag_X,OPTIMAL,-9930.999999077752,0.0,1.0441,OPTIMAL,-9999.999999967738,0.6948,0.005,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_diag_U,OPTIMAL,-9930.999999890777,0.0,0.0028,OPTIMAL,-9999.999999993419,0.6948,0.0033,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_diag_XU,OPTIMAL,-9930.999999487174,0.0,0.0027,OPTIMAL,-9999.999999992844,0.6948,0.0037,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_full_X,OPTIMAL,-9930.99999519889,0.0,0.0029,OPTIMAL,-9999.999997671342,0.6948,0.0047,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_full_U,OPTIMAL,-9930.99999357689,0.0,0.0042,OPTIMAL,-9999.99999998978,0.6948,0.0043,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_full_XU,OPTIMAL,-9930.999997085288,0.0,0.0035,OPTIMAL,-9999.999999993659,0.6948,0.0055,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_directional_X,OPTIMAL,-9930.999999210993,0.0,0.0033,OPTIMAL,-9999.999999178819,0.6948,0.0042,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_directional_U,OPTIMAL,-9930.999999795258,0.0,0.004,OPTIMAL,-9999.99998165577,0.6948,0.0031,OPTIMAL,-9931.0,0.3315
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_directional_XU,OPTIMAL,-9930.999992740948,0.0,0.0041,OPTIMAL,-9999.999999173735,0.6948,0.0043,OPTIMAL,-9931.0,0.3315
