mode_str,n_rows,median_loss,mean_loss,win_rate,fail_rate,median_gscore,median_tscore,median_gap_opt,median_time_opt,best_gap_rate,best_time_rate
RLT_SOC_hybrid_X,23,0.12161102375065698,0.22547152420600233,0.30434782608695654,0.043478260869565216,0.024939787276473148,0.16298122868211518,2.1004500000000004,0.01405,0.46697746697746695,0.0
RLT_SOC_directional_X,23,0.12203481738981156,0.19002041838608608,0.2391304347826087,0.043478260869565216,0.032348071994036484,0.12152043130160287,2.1004500000000004,0.008150000000000001,0.6669774669774671,0.0
RLT_SOC2x2_full_X,23,0.12346410984055677,0.159427432606454,0.17391304347826086,0.0,0.06632061917782825,0.10257305432244611,6.6362,0.0111,0.24475524475524477,1.0
RLT_SOC2x2_full_XU,23,0.1272650029110985,0.1820688583977962,0.043478260869565216,0.0,0.06632061917782825,0.14935854785241526,6.6362,0.0131,0.24475524475524477,0.0
RLT_SOC_hybrid_XU,23,0.15686875651841933,0.22744532304503018,0.0,0.043478260869565216,0.024939787276473148,0.2301449434373669,2.1005000000000003,0.011550000000000001,0.666977466977467,0.0
RLT_SOC_directional_XU,23,0.15785848917065948,0.18815248169258703,0.0,0.0,0.0345240731299961,0.2043800860524621,2.1897,0.013,0.6669774669774671,0.0
RLT_SOC2x2_diag_X,23,0.19491196383687726,0.23341046659335105,0.08695652173913043,0.0,0.26909389298679054,0.13244806844537316,54.998,0.0104,0.15384615384615385,2.0
RLT_SOC2x2_diag_XU,23,0.2239541395084918,0.22836809610287248,0.10869565217391304,0.0,0.26909389298679054,0.11479144410684354,54.9976,0.014,0.15384615384615385,0.5
RLT_blockSDP_X,23,0.28770626777966307,0.3242496836700069,0.043478260869565216,0.0,0.004107248042234137,0.5336696839194116,0.2327,0.0264,1.4503108003108,0.0
RLT_PSD3x3_X,23,0.3447840879447009,0.35624914976504546,0.0,0.0,0.017593639815968676,0.5920587494826012,2.0739,0.0305,0.866977466977467,0.0
RLT_blockSDP_XU,23,0.36841223464077577,0.3649629262201362,0.0,0.0,0.004107248042234137,0.7024480332637937,0.2327,0.0297,1.6503108003108002,0.0
RLT_PSD3x3_XU,23,0.45581183148860227,0.4112764373223895,0.0,0.0,0.017593639815968676,0.7255252125857085,2.0739,0.0371,0.866977466977467,0.0
RLT_full_SDP,23,0.5,0.47430719240821123,0.0,0.0,0.0,1.0,0.0,0.0572,14.650310800310798,0.0
RLT_SOC2x2_full_U,23,0.5392633549664086,0.5433472022006898,0.0,0.0,0.9999999093057452,0.07852670993281735,220.9462,0.0073,0.0,5.0
RLT,23,0.5470299392093886,0.5549190744817918,0.0,0.0,1.0,0.09405987841877714,220.9462,0.01,0.0,6.0
RLT_SOC_directional_U,23,0.551667034658458,0.5681718982260673,0.0,0.0,0.9999999897749673,0.10333458068854254,220.9462,0.0078,0.0,1.0
RLT_SOC2x2_diag_U,23,0.5543035577386899,0.5696913590244196,0.0,0.0,0.9999999521045362,0.10866132086979355,220.9462,0.0097,0.0,5.5
RLT_SOC_hybrid_U,23,0.5652699929887467,0.5864283668268395,0.0,0.0,0.9999998825179965,0.13054049734912002,220.9462,0.0091,0.0,2.0
RLT_PSD3x3_U,23,0.7902836093636766,0.8030180171773901,0.0,0.0,1.0,0.5805672187273532,220.9463,0.0235,0.0,0.0
RLT_blockSDP_U,23,0.7914201889010068,0.7954442689934903,0.0,0.0,1.0,0.5897155892644871,220.9463,0.0298,0.25,0.0
