mode_str,median_loss,median_gap_opt,median_time_opt,best_gap_rate
RLT_SOC_hybrid_X,0.12161102375065698,2.1004500000000004,0.01405,0.46697746697746695
RLT_SOC_directional_X,0.12203481738981156,2.1004500000000004,0.008150000000000001,0.6669774669774671
RLT_SOC2x2_full_X,0.12346410984055677,6.6362,0.0111,0.24475524475524477
RLT_SOC2x2_full_XU,0.1272650029110985,6.6362,0.0131,0.24475524475524477
RLT_SOC_hybrid_XU,0.15686875651841933,2.1005000000000003,0.011550000000000001,0.666977466977467
RLT_SOC_directional_XU,0.15785848917065948,2.1897,0.013,0.6669774669774671
RLT_SOC2x2_diag_X,0.19491196383687726,54.998,0.0104,0.15384615384615385
RLT_SOC2x2_diag_XU,0.2239541395084918,54.9976,0.014,0.15384615384615385
RLT_blockSDP_X,0.28770626777966307,0.2327,0.0264,1.4503108003108
RLT_PSD3x3_X,0.3447840879447009,2.0739,0.0305,0.866977466977467
RLT_blockSDP_XU,0.36841223464077577,0.2327,0.0297,1.6503108003108002
RLT_PSD3x3_XU,0.45581183148860227,2.0739,0.0371,0.866977466977467
RLT_full_SDP,0.5,0.0,0.0572,14.650310800310798
RLT_SOC2x2_full_U,0.5392633549664086,220.9462,0.0073,0.0
RLT,0.5470299392093886,220.9462,0.01,0.0
RLT_SOC_directional_U,0.551667034658458,220.9462,0.0078,0.0
RLT_SOC2x2_diag_U,0.5543035577386899,220.9462,0.0097,0.0
RLT_SOC_hybrid_U,0.5652699929887467,220.9462,0.0091,0.0
RLT_PSD3x3_U,0.7902836093636766,220.9463,0.0235,0.0
RLT_blockSDP_U,0.7914201889010068,220.9463,0.0298,0.25
